state,location,plz,lat,lon
Thüringen,Erfurt,99086,50.9777974,11.0287364
Nordrhein Westfalen,Gelsenkirchen,45884,51.5110321,7.0960124
Schleswig Holstein,Norderstedt,22850,53.6917642,9.9954113
Nordrhein Westfalen,Iserlohn,58638,51.3746778,7.6999713
Niedersachsen,Königslutter am Elm,38154,52.315776,10.8690378
Nordrhein Westfalen,Essen,45147,51.4582235,7.0158171
Sachsen Anhalt,Elsteraue,6729,51.2786738,14.1146245
Sachsen,Schönheide,8304,50.503462,12.5353494
Schleswig Holstein,Schenefeld,22869,53.6018474,9.8370824
Niedersachsen,Burgdorf,31303,52.514902,10.0082506
Nordrhein Westfalen,Kürten,51515,51.0564821,7.2334361
Nordrhein Westfalen,Dortmund,44225,51.5142273,7.4652789
Nordrhein Westfalen,Rheda Wiedenbrück,33378,51.8568543,8.2871673
Niedersachsen,Hannoversch Münden,34346,51.4161908,9.6550096
Mecklenburg Vorpommern,Schwerin,19058,53.6288297,11.4148038
Baden Württemberg,Karlsruhe,76135,48.9909044,8.3758582
Sachsen,Meerane,8393,50.8427835,12.4581578
Bayern,Starnberg,82319,48.0132256,11.4254898
Nordrhein Westfalen,Wesel,46483,51.6576909,6.617087
Nordrhein Westfalen,Duisburg,47226,51.4037693,6.7043391
Nordrhein Westfalen,Fröndenberg/Ruhr,58730,51.4739253,7.765505
Sachsen,Dresden,1217,42.7054635,-76.975493
Baden Württemberg,Filderstadt,70794,48.6616311,9.2236805
Thüringen,Erfurt,99096,50.9616572,11.029174
Nordrhein Westfalen,Bonn,53227,50.7276941,7.1423066
Nordrhein Westfalen,Hilchenbach,57271,50.9966866,8.1086826
Nordrhein Westfalen,Hattingen,45529,51.4007175,7.1862486
Sachsen,Leipzig,4179,-34.6165597,-58.5110546
Nordrhein Westfalen,Bünde,32257,52.2092307,8.5513331
Sachsen,Leipzig,4249,-34.6165597,-58.5110546
Sachsen Anhalt,Dessau Roßlau,6842,51.883838,12.2370501
Hessen,Kalbach,36148,50.4371362,9.6370726
Nordrhein Westfalen,Schwelm,58332,51.2910384,7.2987383
Nordrhein Westfalen,Gevelsberg,58285,51.324785,7.329226
Bayern,Höchberg,97204,49.7837494,9.8811173
Nordrhein Westfalen,Dortmund,44339,51.5530246,7.4839076
Baden Württemberg,Karlsruhe,76185,49.0099403,8.3528654
Brandenburg,Lindenau,1945,48.3339288,10.9586414
Brandenburg,Boitzenburger Land,17268,53.2970133,13.566874
Baden Württemberg,Göppingen,73033,48.7005772,9.6531247
Sachsen,Sankt Egidien,9356,50.788074,12.611687
Berlin,Berlin,10437,52.5462156,13.4127539
Hessen,Witzenhausen,37213,51.3437146,9.8602047
Nordrhein Westfalen,Gelsenkirchen,45891,51.5110321,7.0960124
Bayern,München,80997,48.1856045,11.4755107
Schleswig Holstein,Elmshorn,25335,53.7525836,9.6542659
Niedersachsen,Lüneburg,21335,53.2099116,10.3782853
Baden Württemberg,Kornwestheim,70806,48.8611498,9.1873875
Sachsen,Pirna,1796,50.9616923,13.9386643
Niedersachsen,Wilhelmshaven,26388,53.5900039,8.0995127
Berlin,Berlin,12105,52.4457118,13.3684487
Sachsen,Leipzig,4318,-34.6165597,-58.5110546
Sachsen,Chemnitz,9119,50.8322608,12.9252977
Niedersachsen,Wolfsburg,38440,52.4218412,10.7532295
Niedersachsen,Einbeck,37574,51.8182942,9.8661629
Hessen,Frankfurt am Main,60594,50.1045051,8.6788157
Sachsen,Leipzig,4205,-34.6165597,-58.5110546
Nordrhein Westfalen,Bochum,44892,51.4644064,7.3274517
Sachsen Anhalt,Weißenfels,6667,46.4956182,13.6470891
Sachsen,Treuen,8233,50.5389413,12.3069937
Rheinland Pfalz,Niederneisen,65629,50.3353469,8.0551587
Hamburg,Hamburg,22117,53.5422479,10.1278715
Baden Württemberg,Sulzfeld,75056,49.1047,8.85583
